geohash,value
xnesd2phv,281.0
xnesd39jf,280.0
xnesd54ty,290.0
xneservuz,30.0
xneservzh,29.0
xneserxvz,32.0
xneserxxd,30.0
xnesery78,32.0
xneseryd6,33.0
xneserz0c,31.0
xnesevujh,38.0
xnesevuuj,38.0
xnesevvu0,41.0
xnesevysk,38.0
xnesevzkx,33.0
xnesex3zg,42.0
xnesex6q7,35.0
xnesex7n2,34.0
xnesex7wx,32.0
xnesex8mh,35.0
xnesex8v2,34.0
xnesex96p,42.5
xnesex96r,35.0
xnesex96t,32.0
xnesex972,30.0
xnesex99c,46.0
xnesex99k,42.0
xnesex9d0,44.6
xnesex9d1,48.0
xnesex9h3,36.0
xnesexkqh,29.0
xnesexmew,30.0
xnesexmj1,31.0
xnesexpzw,28.0
xnesexq67,30.0
xnesexqcn,29.0
xnesexr82,28.0
xnesey4xv,37.0
xnesey55c,37.0
xnesey582,37.0
xnesey67v,40.0
xnesey6nv,41.0
xnesey97u,38.0
xnesey9cq,40.0
xnesey9e5,35.0
xnesey9hx,36.0
xnesey9j6,34.0
xnesey9p1,35.0
xneseyc1t,36.0
xneseyckf,36.0
xneseycrz,37.0
xnesez0qf,32.0
xnesez0wq,34.0
xnesez1de,37.0
xnesez1ev,34.0
xnesez1j7,37.0
xnesez1kx,33.0
xnesferrm,33.0
xnesfeugb,29.0
xnesfeunu,29.0
xnesfev2v,29.0
xnesfewdx,34.0
xnesfewjf,33.0
xnesffxtv,32.0
xnesffybr,35.333333333333336
xnesfg2h4,34.0
xnesfkyrp,33.0
xnesfkz51,27.0
xnesfkz8p,29.0
xnesfmgb2,39.0
xnesfmgjj,37.0
xnesfmjgj,33.0
xnesfmjqs,34.0
xnesfmkz9,35.0
xnesfmm4c,32.0
xnesfmsk4,40.0
xnesfpxzg,30.0
xnesfpzt2,30.0
xnesfq1yt,41.0
xnesfq37z,38.0
xnesfq49c,39.0
xnesfq932,41.0
xnesfq9nv,37.0
xnesfqche,39.0
xnesfr0z3,40.0
xnesfr140,36.0
xnesfr2kx,38.0
xnesfr84j,32.0
xnesfs3zt,32.0
xnesfs5dy,31.0
xnesfs5qg,32.0
xnesfs6fq,30.0
xnesfs6mp,30.0
xnesfs8mq,31.0
xnesfs94s,31.0
xnesg1vz3,29.0
xnesg1yhv,30.0
xnesg1ysp,30.0
xnesg1z4z,32.0
xnesg1zc1,33.0
xnesg26uu,35.0
xnesg26xt,35.0
xnesg277z,36.0
xnesg27gt,35.0
xnesg27k1,35.0
xnesg2dek,35.0
xnesg2dxk,33.0
xnesg2fe7,34.0
xnesg2fx7,32.0
xnesg2jfd,29.0
xnesg2jwr,32.0
xnesg2k7t,35.0
xnesg2kgv,34.0
xnesg2m9v,31.0
xnesg2mkj,32.0
xnesg34eg,32.0
xnesg368k,31.0
xnesg36su,30.0
xnesg3b3m,37.0
xnesg3c19,38.0
xnesg3c9s,37.0
xnesg3d9k,37.0
xnesg3dtt,38.0
xnesg3dxf,36.0
xnesg3f0u,39.0
xnesg43tg,31.0
xnesg45qj,24.0
xnesg45uw,22.0
xnesg464z,28.0
xnesg46b7,25.0
xnesg4875,31.0
xnesg48br,31.0
xnesg4heb,24.0
xnesg4j52,22.0
xnesg4jd9,23.0
xnessjbke,33.0
xnessjf59,29.0
xnessjf5t,31.0
xnessjfgs,34.0
xnessjgek,34.0
xnessju77,34.0
xnessjuux,34.0
xnessjvwg,36.0
xnessjyr8,34.0
xnessjzxn,32.0
xnessm6pd,33.0
xnessm6wh,33.0
xnessm7em,35.0
xnessm7ht,34.0
xnessm9dm,34.0
xnessm9q1,38.0
xnessmbcs,39.0
xnessmbk6,34.0
xnessmjrz,41.0
xnessmjyq,44.0
xnessmk3x,39.0
xnessmk44,35.0
xnessmkbz,40.0
xnessmnm4,39.0
xnessmns7,41.0
xnessmnsp,47.0
xnessmph1,45.0
xnessmps6,45.0
xnessnnbp,32.0
xnesst0mh,45.0
xnesst0zv,44.0
xnesst36g,46.0
xnesst3y0,43.0
xnesstd23,43.0
xnesstdbw,43.0
xnesste8d,38.0
xnessts4m,39.0
xnesststm,40.0
xnessttpx,36.0
xnesstvf4,40.0
xnesstyjv,42.0
xnesswn3x,41.0
xnesswntk,42.0
xnesswq9e,42.0
xnesswqtb,41.0
xnessww9w,39.0
xnesswxj2,40.0
xnesswz1m,41.0
xnesswzm3,41.0
xnessxp1p,40.0
xnessxpke,42.0
xnessxr84,37.0
xnessxrg3,34.0
xnessxrvz,32.0
xnessz2rd,31.0
xnessz8bn,26.0
xnessz98g,29.0
xnesszd1r,32.0
xnesszdcu,33.0
xnesszed8,35.0
xnesszs5m,37.0
xnesszsu4,36.0
xnessztkr,37.0
xnesszwhg,41.0
xnesszwub,46.0
xnesszxr4,45.0
xnesszzf1,45.0
xnestpbn2,44.0
xnestrvy9,34.0
xnestry7k,33.0
xnestrz1d,30.0
xnestrzc6,32.0
xnestx9yn,31.0
xnestxb94,29.0
xnestxc20,29.0
xnestxdsj,29.0
xnestxe6x,30.0
xnestxs33,29.0
xnestxt07,31.0
xnestxtch,31.0
xnestxwdw,28.0
xnestxx7z,29.0
xnestz6ye,36.0
xnestz776,39.0
xnestz78p,44.0
xnestz8gx,27.0
xnestz8k2,28.0
xnestz9d7,32.0
